model,method,task,cost_usd
baseline,random,grasp,0.0
baseline,random,unlock,0.0
baseline,random,doorkey,0.0
baseline,random,unlock_pickup,0.0
baseline,greedy,grasp,0.0
baseline,greedy,unlock,0.0
baseline,greedy,doorkey,0.0
baseline,greedy,unlock_pickup,0.0
gpt_4o,naive,grasp,0.0066
gpt_4o,naive,unlock,0.006
gpt_4o,naive,doorkey,0.007
gpt_4o,naive,unlock_pickup,0.007
gpt_4o,cot,grasp,0.008
gpt_4o,cot,unlock,0.008
gpt_4o,cot,doorkey,0.007
gpt_4o,cot,unlock_pickup,0.011
gpt_4o,2step,grasp,0.0146
gpt_4o,2step,unlock,0.009
gpt_4o,2step,doorkey,0.018
gpt_4o,2step,unlock_pickup,0.016
gpt_4o,ir,grasp,0.0018
gpt_4o,ir,unlock,0.0005
gpt_4o,ir,doorkey,0.0004
gpt_4o,ir,unlock_pickup,0.0005
o3_mini,naive,grasp,0.0018
o3_mini,naive,unlock,0.001
o3_mini,naive,doorkey,0.002
o3_mini,naive,unlock_pickup,0.002
o3_mini,cot,grasp,0.002
o3_mini,cot,unlock,0.002
o3_mini,cot,doorkey,0.003
o3_mini,cot,unlock_pickup,0.003
o3_mini,2step,grasp,0.0039
o3_mini,2step,unlock,0.002
o3_mini,2step,doorkey,0.002
o3_mini,2step,unlock_pickup,0.003
o3_mini,ir,grasp,0.0008
o3_mini,ir,unlock,0.0011
o3_mini,ir,doorkey,0.0008
o3_mini,ir,unlock_pickup,0.0008
claude,naive,grasp,0.0116
claude,naive,unlock,0.005
claude,naive,doorkey,0.005
claude,naive,unlock_pickup,0.006
claude,cot,grasp,0.0115
claude,cot,unlock,0.005
claude,cot,doorkey,0.006
claude,cot,unlock_pickup,0.006
claude,2step,grasp,0.0206
claude,2step,unlock,0.011
claude,2step,doorkey,0.013
claude,2step,unlock_pickup,0.014
claude,ir,grasp,0.0038
claude,ir,unlock,0.0039
claude,ir,doorkey,0.0016
claude,ir,unlock_pickup,0.0053
gemini,naive,grasp,0.0103
gemini,naive,unlock,0.002
gemini,naive,doorkey,0.002
gemini,naive,unlock_pickup,0.004
gemini,cot,grasp,0.0115
gemini,cot,unlock,0.009
gemini,cot,doorkey,0.009
gemini,cot,unlock_pickup,0.008
gemini,2step,grasp,0.0136
gemini,2step,unlock,0.003
gemini,2step,doorkey,0.003
gemini,2step,unlock_pickup,0.005
gemini,ir,grasp,0.0019
gemini,ir,unlock,0.0017
gemini,ir,doorkey,0.0045
gemini,ir,unlock_pickup,0.0026
deepseek,naive,grasp,0.0018
deepseek,naive,unlock,0.001
deepseek,naive,doorkey,0.001
deepseek,naive,unlock_pickup,0.001
deepseek,cot,grasp,0.002
deepseek,cot,unlock,0.001
deepseek,cot,doorkey,0.001
deepseek,cot,unlock_pickup,0.001
deepseek,2step,grasp,0.0039
deepseek,2step,unlock,0.002
deepseek,2step,doorkey,0.002
deepseek,2step,unlock_pickup,0.002
deepseek,ir,grasp,0.0009
deepseek,ir,unlock,0.0008
deepseek,ir,doorkey,0.0009
deepseek,ir,unlock_pickup,0.0006
