method_cls,method_name,grid_seed,reward,done
baseline,random,0,0.0,0
baseline,random,1,0.0,0
baseline,random,2,0.0,0
baseline,random,3,0.0,0
baseline,random,4,0.0,0
baseline,random,5,0.0,0
baseline,random,6,0.0,0
baseline,random,7,0.0,0
baseline,random,8,0.0,0
baseline,random,9,0.0,0
baseline,random,10,0.0,0
baseline,random,11,0.0,0
baseline,random,12,0.0,0
baseline,random,13,0.0,0
baseline,random,14,0.0,0
baseline,random,15,0.0,0
baseline,random,16,0.0,0
baseline,random,17,0.0,0
baseline,random,18,0.0,0
baseline,random,19,0.0,0
baseline,random,20,0.0,0
baseline,random,21,0.0,0
baseline,random,22,0.0,0
baseline,random,23,0.0,0
baseline,random,24,0.0,0
baseline,random,25,0.0,0
baseline,random,26,0.0,0
baseline,random,27,0.0,0
baseline,random,28,0.0,0
baseline,random,29,0.0,0
baseline,random,30,0.0,0
baseline,random,31,0.0,0
baseline,random,32,0.0,0
baseline,random,33,0.0,0
baseline,random,34,0.0,0
baseline,random,35,0.0,0
baseline,random,36,0.0,0
baseline,random,37,0.0,0
baseline,random,38,0.0,0
baseline,random,39,0.0,0
baseline,random,40,0.0,0
baseline,random,41,0.0,0
baseline,random,42,0.0,0
baseline,random,43,0.0,0
baseline,random,44,0.0,0
baseline,random,45,0.0,0
baseline,random,46,0.0,0
baseline,random,47,0.0,0
baseline,random,48,0.0,0
baseline,random,49,0.0,0
baseline,random,50,0.0,0
baseline,random,51,0.0,0
baseline,random,52,0.0,0
baseline,random,53,0.0,0
baseline,random,54,0.0,0
baseline,random,55,0.0,0
baseline,random,56,0.0,0
baseline,random,57,0.0,0
baseline,random,58,0.0,0
baseline,random,59,0.0,0
baseline,random,60,0.0,0
baseline,random,61,0.0,0
baseline,random,62,0.0,0
baseline,random,63,0.0,0
baseline,random,64,0.0,0
baseline,random,65,0.0,0
baseline,random,66,0.0,0
baseline,random,67,0.0,0
baseline,random,68,0.0,0
baseline,random,69,0.0,0
baseline,random,70,0.0,0
baseline,random,71,0.0,0
baseline,random,72,0.0,0
baseline,random,73,0.0,0
baseline,random,74,0.0,0
baseline,random,75,0.0,0
baseline,random,76,0.0,0
baseline,random,77,0.0,0
baseline,random,78,0.0,0
baseline,random,79,0.0,0
baseline,random,80,0.0,0
baseline,random,81,0.0,0
baseline,random,82,0.0,0
baseline,random,83,0.0,0
baseline,random,84,0.0,0
baseline,random,85,0.0,0
baseline,random,86,0.0,0
baseline,random,87,0.0,0
baseline,random,88,0.0,0
baseline,random,89,0.0,0
baseline,random,90,0.0,0
baseline,random,91,0.0,0
baseline,random,92,0.0,0
baseline,random,93,0.0,0
baseline,random,94,0.0,0
baseline,random,95,0.0,0
baseline,random,96,0.0,0
baseline,random,97,0.0,0
baseline,random,98,0.0,0
baseline,random,99,0.0,0
baseline,greedy,0,0.97609375,1
baseline,greedy,1,0.97046875,1
baseline,greedy,2,0.971875,1
baseline,greedy,3,0.9746875,1
baseline,greedy,4,0.9803125,1
baseline,greedy,5,0.97890625,1
baseline,greedy,6,0.98171875,1
baseline,greedy,7,0.9775,1
baseline,greedy,8,0.96625,1
baseline,greedy,9,0.9803125,1
baseline,greedy,10,0.98453125,1
baseline,greedy,11,0.97890625,1
baseline,greedy,12,0.97890625,1
baseline,greedy,13,0.9634375,1
baseline,greedy,14,0.971875,1
baseline,greedy,15,0.971875,1
baseline,greedy,16,0.9803125,1
baseline,greedy,17,0.96625,1
baseline,greedy,18,0.97609375,1
baseline,greedy,19,0.98171875,1
baseline,greedy,20,0.97609375,1
baseline,greedy,21,0.983125,1
baseline,greedy,22,0.97328125,1
baseline,greedy,23,0.97328125,1
baseline,greedy,24,0.9690625,1
baseline,greedy,25,0.97890625,1
baseline,greedy,26,0.97328125,1
baseline,greedy,27,0.9803125,1
baseline,greedy,28,0.9803125,1
baseline,greedy,29,0.9775,1
baseline,greedy,30,0.96625,1
baseline,greedy,31,0.97609375,1
baseline,greedy,32,0.97046875,1
baseline,greedy,33,0.9775,1
baseline,greedy,34,0.97328125,1
baseline,greedy,35,0.9775,1
baseline,greedy,36,0.9803125,1
baseline,greedy,37,0.97609375,1
baseline,greedy,38,0.97609375,1
baseline,greedy,39,0.9690625,1
baseline,greedy,40,0.97046875,1
baseline,greedy,41,0.97890625,1
baseline,greedy,42,0.971875,1
baseline,greedy,43,0.9859375,1
baseline,greedy,44,0.971875,1
baseline,greedy,45,0.9775,1
baseline,greedy,46,0.97328125,1
baseline,greedy,47,0.98171875,1
baseline,greedy,48,0.97046875,1
baseline,greedy,49,0.9803125,1
baseline,greedy,50,0.971875,1
baseline,greedy,51,0.971875,1
baseline,greedy,52,0.9690625,1
baseline,greedy,53,0.97890625,1
baseline,greedy,54,0.983125,1
baseline,greedy,55,0.96484375,1
baseline,greedy,56,0.983125,1
baseline,greedy,57,0.98171875,1
baseline,greedy,58,0.98171875,1
baseline,greedy,59,0.97328125,1
baseline,greedy,60,0.9775,1
baseline,greedy,61,0.97609375,1
baseline,greedy,62,0.971875,1
baseline,greedy,63,0.97890625,1
baseline,greedy,64,0.9690625,1
baseline,greedy,65,0.98171875,1
baseline,greedy,66,0.97609375,1
baseline,greedy,67,0.97328125,1
baseline,greedy,68,0.97328125,1
baseline,greedy,69,0.98171875,1
baseline,greedy,70,0.96625,1
baseline,greedy,71,0.98171875,1
baseline,greedy,72,0.97890625,1
baseline,greedy,73,0.971875,1
baseline,greedy,74,0.9803125,1
baseline,greedy,75,0.97890625,1
baseline,greedy,76,0.9775,1
baseline,greedy,77,0.97328125,1
baseline,greedy,78,0.9803125,1
baseline,greedy,79,0.9803125,1
baseline,greedy,80,0.96625,1
baseline,greedy,81,0.97609375,1
baseline,greedy,82,0.9746875,1
baseline,greedy,83,0.9746875,1
baseline,greedy,84,0.97890625,1
baseline,greedy,85,0.98453125,1
baseline,greedy,86,0.96484375,1
baseline,greedy,87,0.9775,1
baseline,greedy,88,0.9803125,1
baseline,greedy,89,0.9746875,1
baseline,greedy,90,0.9690625,1
baseline,greedy,91,0.96484375,1
baseline,greedy,92,0.9775,1
baseline,greedy,93,0.971875,1
baseline,greedy,94,0.9775,1
baseline,greedy,95,0.9803125,1
baseline,greedy,96,0.9746875,1
baseline,greedy,97,0.97609375,1
baseline,greedy,98,0.97328125,1
baseline,greedy,99,0.96765625,1
direct_code_gen,o3_mini,0,0.96765625,1
direct_code_gen,o3_mini,1,0.0,0
direct_code_gen,o3_mini,2,0.9690625,1
direct_code_gen,o3_mini,3,0.9746875,1
direct_code_gen,o3_mini,4,0.0,0
direct_code_gen,o3_mini,5,0.97046875,1
direct_code_gen,o3_mini,6,0.97046875,1
direct_code_gen,o3_mini,7,0.971875,1
direct_code_gen,o3_mini,8,0.9521875,1
direct_code_gen,o3_mini,9,0.9690625,1
direct_code_gen,o3_mini,10,0.0,0
direct_code_gen,o3_mini,11,0.0,0
direct_code_gen,o3_mini,12,0.97328125,1
direct_code_gen,o3_mini,13,0.9634375,1
direct_code_gen,o3_mini,14,0.0,0
direct_code_gen,o3_mini,15,0.971875,1
direct_code_gen,o3_mini,16,0.9803125,1
direct_code_gen,o3_mini,17,0.96625,1
direct_code_gen,o3_mini,18,0.96765625,1
direct_code_gen,o3_mini,19,0.0,0
direct_code_gen,o3_mini,20,0.97609375,1
direct_code_gen,o3_mini,21,0.983125,1
direct_code_gen,o3_mini,22,0.97046875,1
direct_code_gen,o3_mini,23,0.0,0
direct_code_gen,o3_mini,24,0.9690625,1
direct_code_gen,o3_mini,25,0.96484375,1
direct_code_gen,o3_mini,26,0.97046875,1
direct_code_gen,o3_mini,27,0.0,0
direct_code_gen,o3_mini,28,0.971875,1
direct_code_gen,o3_mini,29,0.9690625,1
direct_code_gen,o3_mini,30,0.0,0
direct_code_gen,o3_mini,31,0.97609375,1
direct_code_gen,o3_mini,32,0.96484375,1
direct_code_gen,o3_mini,33,0.9775,1
direct_code_gen,o3_mini,34,0.0,0
direct_code_gen,o3_mini,35,0.0,0
direct_code_gen,o3_mini,36,0.9746875,1
direct_code_gen,o3_mini,37,0.0,0
direct_code_gen,o3_mini,38,0.0,0
direct_code_gen,o3_mini,39,0.971875,1
direct_code_gen,o3_mini,40,0.95921875,1
direct_code_gen,o3_mini,41,0.97890625,1
direct_code_gen,o3_mini,42,0.971875,1
direct_code_gen,o3_mini,43,0.0,0
direct_code_gen,o3_mini,44,0.96625,1
direct_code_gen,o3_mini,45,0.971875,1
direct_code_gen,o3_mini,46,0.96765625,1
direct_code_gen,o3_mini,47,0.98171875,1
direct_code_gen,o3_mini,48,0.97046875,1
direct_code_gen,o3_mini,49,0.9803125,1
direct_code_gen,o3_mini,50,0.971875,1
direct_code_gen,o3_mini,51,0.9690625,1
direct_code_gen,o3_mini,52,0.96625,1
direct_code_gen,o3_mini,53,0.97609375,1
direct_code_gen,o3_mini,54,0.983125,1
direct_code_gen,o3_mini,55,0.96765625,1
direct_code_gen,o3_mini,56,0.9746875,1
direct_code_gen,o3_mini,57,0.98171875,1
direct_code_gen,o3_mini,58,0.98171875,1
direct_code_gen,o3_mini,59,0.97328125,1
direct_code_gen,o3_mini,60,0.0,0
direct_code_gen,o3_mini,61,0.97046875,1
direct_code_gen,o3_mini,62,0.971875,1
direct_code_gen,o3_mini,63,0.0,0
direct_code_gen,o3_mini,64,0.96625,1
direct_code_gen,o3_mini,65,0.0,0
direct_code_gen,o3_mini,66,0.97046875,1
direct_code_gen,o3_mini,67,0.96765625,1
direct_code_gen,o3_mini,68,0.96203125,1
direct_code_gen,o3_mini,69,0.98171875,1
direct_code_gen,o3_mini,70,0.9634375,1
direct_code_gen,o3_mini,71,0.97046875,1
direct_code_gen,o3_mini,72,0.97046875,1
direct_code_gen,o3_mini,73,0.96625,1
direct_code_gen,o3_mini,74,0.9803125,1
direct_code_gen,o3_mini,75,0.97609375,1
direct_code_gen,o3_mini,76,0.9775,1
direct_code_gen,o3_mini,77,0.97328125,1
direct_code_gen,o3_mini,78,0.9690625,1
direct_code_gen,o3_mini,79,0.0,0
direct_code_gen,o3_mini,80,0.96625,1
direct_code_gen,o3_mini,81,0.0,0
direct_code_gen,o3_mini,82,0.9803125,1
direct_code_gen,o3_mini,83,0.9746875,1
direct_code_gen,o3_mini,84,0.96203125,1
direct_code_gen,o3_mini,85,0.0,0
direct_code_gen,o3_mini,86,0.95640625,1
direct_code_gen,o3_mini,87,0.9775,1
direct_code_gen,o3_mini,88,0.9803125,1
direct_code_gen,o3_mini,89,0.9746875,1
direct_code_gen,o3_mini,90,0.9634375,1
direct_code_gen,o3_mini,91,0.96203125,1
direct_code_gen,o3_mini,92,0.9775,1
direct_code_gen,o3_mini,93,0.9690625,1
direct_code_gen,o3_mini,94,0.9775,1
direct_code_gen,o3_mini,95,0.971875,1
direct_code_gen,o3_mini,96,0.971875,1
direct_code_gen,o3_mini,97,0.97609375,1
direct_code_gen,o3_mini,98,0.97328125,1
direct_code_gen,o3_mini,99,0.96765625,1
direct_code_gen,claude,0,0.97609375,1
direct_code_gen,claude,1,0.9690625,1
direct_code_gen,claude,2,0.9690625,1
direct_code_gen,claude,3,0.9746875,1
direct_code_gen,claude,4,0.97890625,1
direct_code_gen,claude,5,0.9775,1
direct_code_gen,claude,6,0.971875,1
direct_code_gen,claude,7,0.971875,1
direct_code_gen,claude,8,0.96203125,1
direct_code_gen,claude,9,0.97890625,1
direct_code_gen,claude,10,0.98453125,1
