method_cls,method_name,grid_seed,reward,done
baseline,random_walk,0,0.0,0
baseline,random_walk,1,0.0,0
baseline,random_walk,2,0.0,0
baseline,random_walk,3,0.0,0
baseline,random_walk,4,0.0,0
baseline,random_walk,5,0.0,0
baseline,random_walk,6,0.0,0
baseline,random_walk,7,0.0,0
baseline,random_walk,8,0.0,0
baseline,random_walk,9,0.0,0
baseline,random_walk,10,0.0,0
baseline,random_walk,11,0.0,0
baseline,random_walk,12,0.0,0
baseline,random_walk,13,0.0,0
baseline,random_walk,14,0.0,0
baseline,random_walk,15,0.0,0
baseline,random_walk,16,0.0,0
baseline,random_walk,17,0.0,0
baseline,random_walk,18,0.0,0
baseline,random_walk,19,0.0,0
baseline,random_walk,20,0.0,0
baseline,random_walk,21,0.0,0
baseline,random_walk,22,0.0,0
baseline,random_walk,23,0.0,0
baseline,random_walk,24,0.0,0
baseline,random_walk,25,0.0,0
baseline,random_walk,26,0.0,0
baseline,random_walk,27,0.0,0
baseline,random_walk,28,0.0,0
baseline,random_walk,29,0.0,0
baseline,random_walk,30,0.0,0
baseline,random_walk,31,0.0,0
baseline,random_walk,32,0.0,0
baseline,random_walk,33,0.0,0
baseline,random_walk,34,0.0,0
baseline,random_walk,35,0.0,0
baseline,random_walk,36,0.0,0
baseline,random_walk,37,0.0,0
baseline,random_walk,38,0.0,0
baseline,random_walk,39,0.0,0
baseline,random_walk,40,0.0,0
baseline,random_walk,41,0.0,0
baseline,random_walk,42,0.0,0
baseline,random_walk,43,0.0,0
baseline,random_walk,44,0.0,0
baseline,random_walk,45,0.0,0
baseline,random_walk,46,0.0,0
baseline,random_walk,47,0.0,0
baseline,random_walk,48,0.0,0
baseline,random_walk,49,0.0,0
baseline,random_walk,50,0.0,0
baseline,random_walk,51,0.0,0
baseline,random_walk,52,0.0,0
baseline,random_walk,53,0.0,0
baseline,random_walk,54,0.0,0
baseline,random_walk,55,0.0,0
baseline,random_walk,56,0.0,0
baseline,random_walk,57,0.0,0
baseline,random_walk,58,0.0,0
baseline,random_walk,59,0.0,0
baseline,random_walk,60,0.0,0
baseline,random_walk,61,0.0,0
baseline,random_walk,62,0.0,0
baseline,random_walk,63,0.0,0
baseline,random_walk,64,0.0,0
baseline,random_walk,65,0.0,0
baseline,random_walk,66,0.0,0
baseline,random_walk,67,0.0,0
baseline,random_walk,68,0.0,0
baseline,random_walk,69,0.0,0
baseline,random_walk,70,0.0,0
baseline,random_walk,71,0.0,0
baseline,random_walk,72,0.0,0
baseline,random_walk,73,0.0,0
baseline,random_walk,74,0.0,0
baseline,random_walk,75,0.0,0
baseline,random_walk,76,0.0,0
baseline,random_walk,77,0.0,0
baseline,random_walk,78,0.0,0
baseline,random_walk,79,0.0,0
baseline,random_walk,80,0.0,0
baseline,random_walk,81,0.0,0
baseline,random_walk,82,0.0,0
baseline,random_walk,83,0.0,0
baseline,random_walk,84,0.0,0
baseline,random_walk,85,0.0,0
baseline,random_walk,86,0.0,0
baseline,random_walk,87,0.0,0
baseline,random_walk,88,0.0,0
baseline,random_walk,89,0.0,0
baseline,random_walk,90,0.0,0
baseline,random_walk,91,0.0,0
baseline,random_walk,92,0.0,0
baseline,random_walk,93,0.0,0
baseline,random_walk,94,0.0,0
baseline,random_walk,95,0.0,0
baseline,random_walk,96,0.0,0
baseline,random_walk,97,0.0,0
baseline,random_walk,98,0.0,0
baseline,random_walk,99,0.0,0
baseline,random_walk,100,0.0,0
baseline,random_walk,101,0.0,0
baseline,random_walk,102,0.0,0
baseline,random_walk,103,0.0,0
baseline,random_walk,104,0.0,0
baseline,random_walk,105,0.0,0
baseline,random_walk,106,0.0,0
baseline,random_walk,107,0.0,0
baseline,random_walk,108,0.0,0
baseline,random_walk,109,0.0,0
baseline,random_walk,110,0.0,0
baseline,random_walk,111,0.0,0
baseline,random_walk,112,0.0,0
baseline,random_walk,113,0.0,0
baseline,random_walk,114,0.0,0
baseline,random_walk,115,0.0,0
baseline,random_walk,116,0.0,0
baseline,random_walk,117,0.0,0
baseline,random_walk,118,0.0,0
baseline,random_walk,119,0.0,0
baseline,random_walk,120,0.0,0
baseline,random_walk,121,0.0,0
